Excellent (5),"Вдохновляющее, бодрое выступление с нетривиальными шутками. Очень практично. Захотелось изучить и применить."
Excellent (5),"Один из лучших докладов, хорошая подача материала, отличная презентация."
Excellent (5),Очень доходчиво
Excellent (5),Мне все понравилось и планирую применить в новом личном проекте
Excellent (5),"Очень красочное и понятное описание новых для меня инструментов. Я уже задумывался об использовании GraphQL и ApolloClient, но были сомнения. Этот доклад их развеял - почему я должен использовать это, какие перспективы."
Excellent (5),"Очень интересны, содержательный доклад"
4.25,было сложновато
4.25,"Живая подача материала. Большинство информации по делу. Павел видимо любит GraphQL и старается его популяризовать. И в связи с этим, видимо акцентирует внимание только на плюсах. :)"
4.25,"Подача субъективного мнения. При рекламе технологии всегда лучше называть ее плюсы, а не пытаться возвысить путем гнобления конкурентных."
4.25,Глубина информации
4.25,Интересная для меня тема.
4.25,"Доклад интересный, если еще пару шуток рассказать во время доклада, то ваще огонь"
4.25,"Практическая применимость, постараюсь внедрить в своих проектах"
4.25,"Дал больше понимания о том, почему мне это не нужно."
4.25,Хорошая подача. Полезная тема
4.25,"Доклад понравился, хотя к моей деятельности пока не применим, новую информацию почерпнул, однозначно"
4.25,Отличная подача. Спикер смог хорошо подать информацию про GraphQL
4.25,"Ранее слышал про GraphQL, но никак не доходили руки. Доклад заинтересовал, хоть и оставил кучу вопросов, типа чья больше будет проблема миграции - бэка или фронта. И чем ему так не понравился редакс"
4.25,так и не понял почему он волосатый. Но в целом было интересно.
4.25,"Неоднократно смотрел доклады Павла, всё круто, но возникает ощущение, что мы куда-то опаздываем, хотелось бы больше размеренности в донесении материала"
4.25,"Интересный опыт, который я смогу(наверное) применить в своей работе или по крайней мере буду знать о таком варианте."
4.25,"Я правда многое уже слышал, но было интересно мне."
4.25,"Интересно и понятно, полезно лично мне"
4.25,"Интересные доводы и аргументы докладчика, рассмотренные кейсы, актуальность."
4.25,"Очень убедительно, подробно, попытаемся применить на практике."
4.25,"немного не поспевал за докладчиком, возможно, т.к. это новая для меня тема. Планирую почитать по теме и пересмотреть запись"
3.5,"Не понравилось, что докладчик говорил по-русски с ошибками"
3.5,"Ничего нового не узнал, так как использую этот стек уже два года."
3.5,"Спикер спорный — слишком фамильярный и радикальный, на мой взляд. Для человека, который не знаком с технологией, польза есть."
3.5,"Неплохая подача, хорошие идеи, но не очень много нового. Осталось ощущение, что все это я уже слышал"
3.5,тема оказалась не очень интересой
3.5,"Тема для меня далекая, сложно для восприятия."
3.5,"Все хорошо, но хотелось бы больше лайвкодинга (почти полностью из лайвкодинга)"
3.5,"Кажется, что тема достаточно узкая и практически полезная далеко не для всех, но сравнительный анализ хороший."
3.5,"min - 1, max - 10 3, 4, 5, 3, 6"
3.5,"очень сложная подача информации, иногда не успевал за мыслью спикера"
3.5,"Пойдет, но хипстерские высказывания, вроде ""к черту Redux"" и ""поливание"" бэкендеров не понравилось ))"
2.75,"Никакой конкретики, очень поверхностная попытка сравнить два инструмента... Зачем!? Все, что вынес их этого доклада, что должен быть волосатый и ходить по-маленькому."
